Benchmark,WebPL,WebPL (with GC),SWI-Prolog,Trealla Prolog,Tau Prolog
chat\_parser,1.625,1.6700000762939453,70.39499998092651,26.610000014305115,1593.4524999856949
crypt,0.7300000190734863,0.7849999666213989,2.850000023841858,3.615000009536743,119.81499999761581
derive,0.2849999666213989,0.2999999523162842,1.1050000190734863,0.434999942779541,13.704999923706055
divide10,0.26999998092651367,0.28999996185302734,0.9850000143051147,0.375,13.170000076293945
fib,6.110000014305115,12.674999952316284,9.585000038146973,4.959999918937683,3012.9049999713898
log10,0.26499998569488525,0.28000009059906006,0.9950000047683716,0.38999998569488525,13.59500002861023
mu,0.36500000953674316,0.4150000810623169,1.2050000429153442,0.6049998998641968,15.354999959468842
nreverse,0.3500000238418579,0.434999942779541,0.5800000429153442,0.4049999713897705,17.950000047683716
ops8,0.24000000953674316,0.25,0.9900000095367432,0.440000057220459,12.919999957084656
poly\_10,8.31000006198883,19.68500006198883,18.694999992847443,6.25,3457.139999985695
qsort,0.38499999046325684,0.4750000238418579,0.75,0.5349999666213989,17.857499957084656
queens\_8,11.039999961853027,11.330000042915344,16.895000100135803,8.315000057220459,263.38499999046326
query,0.9350000619888306,0.9300000667572021,2.5299999713897705,1.2400000095367432,20.57749992609024
tak,29.800000071525574,624.4375,27.485000014305115,27.669999957084656,27062.67000001669
times10,0.26999998092651367,0.26999998092651367,1.0049999952316284,0.5649999380111694,15.304999947547913
zebra,4.044999957084656,4.049999952316284,7.460000038146973,9.555000066757202,888.3774999976158
