benchmark,WebPL,WebPL (with GC),SWI-Prolog
chat\_parser,98304.0,49152.0,3069186.7317073173
crypt,24576.0,24576.0,3477081.526717557
derive,49152.0,49152.0,3005071.744
divide10,24576.0,24576.0,2404893.056
fib,25165824.0,49152.0,769966.464
log10,12288.0,12288.0,2670379.392
mu,24576.0,24576.0,2428682.624
nreverse,393216.0,393216.0,2543501.696
ops8,12288.0,12288.0,2406531.456
poly\_10,25165824.0,393216.0,2245990.6341463416
qsort,393216.0,196608.0,2785526.144
queens\_8,98304.0,49152.0,1022137.9154929577
query,6144.0,6144.0,3309597.663322185
tak,100663296.0,50331648.0,9707504.0
times10,12288.0,12288.0,2658779.52
zebra,24576.0,24576.0,1604288.8044692737
