Benchmark,WebPL,WebPL#min,WebPL#max,WebPL (with GC),WebPL (with GC)#min,WebPL (with GC)#max,SWI-Prolog,SWI-Prolog#min,SWI-Prolog#max,Trealla Prolog,Trealla Prolog#min,Trealla Prolog#max,Tau Prolog,Tau Prolog#min,Tau Prolog#max
chat\_parser,1.6599999999998545,1.6400000000003274,1.699999999999818,1.9199999999982538,1.8799999999973807,1.9799999999959255,124.54000000000815,123.52000000000407,127.76000000000931,24.20000000001164,24.15999999997439,24.260000000009313,1157.7400000000198,1122.5049999999828,1195.8349999999919
crypt,0.7600000000002183,0.7599999999993088,0.7799999999997453,0.7599999999947613,0.7399999999979627,0.7600000000020373,5.30000000000291,5.279999999998836,5.639999999999418,1.9200000000128057,1.819999999999709,2.5199999999895226,113.23999999999069,112.80999999999767,114.04000000000815
derive,0.37999999999919964,0.3599999999996726,0.38000000000010914,0.3599999999933061,0.3400000000037835,0.3600000000005821,2.0,1.9600000000064028,2.0200000000040745,0.3800000000046566,0.3800000000046566,0.3999999999650754,13.400000000023283,13.119999999995343,13.779999999998836
divide10,0.3400000000001455,0.339999999999236,0.3599999999996726,0.31999999999970896,0.31999999999970896,0.33999999999650754,1.8599999999860302,1.820000000006985,1.8800000000046566,0.33999999999650754,0.33999999999650754,0.34000000002561137,13.0,12.619999999995343,13.220000000001164
fib,5.240000000001601,5.100000000000364,5.540000000000873,9.62000000000262,9.559999999997672,9.740000000005239,19.579999999987194,19.520000000004075,19.660000000003492,4.0200000000186265,4.019999999989523,4.040000000008149,2112.8199999999924,1847.8300000000017,2280.125
log10,0.31999999999970896,0.31999999999970896,0.32000000000152795,0.31999999999970896,0.31999999999970896,0.33999999999650754,1.860000000000582,1.8599999999860302,1.9000000000087311,0.360000000015134,0.35999999998603016,0.3799999999755528,12.060000000012224,11.63499999998021,12.47999999998865
mu,0.4400000000023283,0.4399999999986903,0.4600000000009459,0.43999999999505235,0.42000000000552973,0.4400000000023283,2.320000000006985,2.3000000000029104,2.359999999989668,0.5599999999976717,0.5599999999685679,0.5600000000267755,13.820000000006985,12.500000000029104,14.679999999993015
nreverse,0.4399999999986903,0.42000000000007276,0.4599999999991269,0.4800000000032014,0.47999999999592546,0.49999999999272404,1.1600000000034925,1.139999999999418,1.179999999996653,0.3799999999755528,0.360000000015134,0.3800000000046566,17.820000000006985,17.669999999998254,18.04999999998836
ops8,0.31999999999970896,0.31999999999970896,0.32000000000152795,0.3200000000069849,0.31999999999970896,0.33999999999650754,1.8000000000029104,1.7799999999988358,1.8399999999965075,0.4200000000128057,0.41999999998370185,0.4400000000023283,11.700000000011642,10.530000000013388,12.5
poly\_10,8.219999999999345,7.700000000000728,8.719999999997526,17.499999999992724,17.37999999999738,17.87999999999738,31.660000000003492,27.979999999995925,31.80500000000029,5.399999999994179,5.360000000015134,5.420000000012806,4266.74000000002,4208.5899999999965,4299.209999999963
qsort,0.47999999999956344,0.4599999999991269,0.47999999999956344,0.5599999999976717,0.5400000000008731,0.5599999999976717,1.4000000000087311,1.3800000000046566,1.4399999999877764,0.5000000000291038,0.5,0.5199999999895226,17.960000000020955,17.07999999995809,18.310000000026776
queens\_8,11.06000000000131,10.980000000003201,11.399999999997817,10.980000000003201,10.900000000001455,11.059999999997672,34.79000000000087,34.36000000000058,34.88000000000466,7.0,6.999999999970896,7.019999999989523,259.7399999999907,257.53999999997905,264.695000000007
query,0.9000000000014552,0.8999999999978172,0.9000000000014552,0.9000000000014552,0.9000000000014552,0.9199999999982538,4.740000000005239,4.720000000001164,4.820000000021537,1.1600000000034925,1.1599999999743886,1.179999999993015,20.02000000004773,19.5,20.56500000000233
tak,29.88000000000102,28.62000000000262,31.5099999999984,608.5200000000041,607.3100000000031,609.9199999999983,48.75999999999476,48.64000000001397,48.879999999990105,26.319999999992433,21.865000000012515,27.174999999995634,26613.149999999965,23101.24000000002,28319.014999999985
times10,0.3400000000001455,0.32000000000334694,0.3600000000005821,0.34000000001105946,0.3399999999819556,0.3600000000005821,1.8399999999819556,1.8000000000029104,1.860000000015134,0.5400000000081491,0.5399999999790452,0.5400000000081491,14.319999999948777,13.919999999925494,14.839999999967404
zebra,3.5,3.4799999999959255,3.5599999999976717,3.5800000000017462,3.5599999999976717,3.6200000000098953,12.940000000002328,12.89999999999418,13.340000000003783,8.860000000015134,8.820000000006985,8.880000000004657,756.2000000000116,754.0149999999558,769.5899999999674
