Benchmark,WebPL,WebPL (with GC),SWI-Prolog
chat\_parser,393216.0,196608.0,5578736.0
crypt,24576.0,24576.0,5644272.0
derive,49152.0,49152.0,3022832.0
divide10,24576.0,24576.0,3022832.0
fib,25165824.0,49152.0,991216.0
log10,12288.0,12288.0,3022832.0
mu,24576.0,24576.0,3022832.0
nreverse,393216.0,393216.0,3153904.0
ops8,12288.0,12288.0,3022832.0
poly\_10,25165824.0,393216.0,2957296.0
qsort,393216.0,196608.0,3153904.0
queens\_8,98304.0,49152.0,1646576.0
query,6144.0,6144.0,3022832.0
tak,100663296.0,50331648.0,9707504.0
times10,12288.0,12288.0,3022832.0
zebra,24576.0,24576.0,1646576.0
