benchmark,WebPL,WebPL (with GC),SWI-Prolog
chat\_parser,262144.0,65536.0,7395283.154929577
crypt,16384.0,16384.0,3968909.696
derive,32768.0,32768.0,3005071.744
divide10,16384.0,16384.0,2404893.056
fib,16777216.0,32768.0,1242802.137524558
log10,8192.0,8192.0,2670379.392
mu,16384.0,16384.0,2428682.624
nreverse,262144.0,131072.0,2543501.696
ops8,8192.0,8192.0,2406531.456
poly\_10,16777216.0,262144.0,3693215.202657807
qsort,262144.0,65536.0,2785526.144
queens\_8,65536.0,32768.0,1586347.4929577464
query,4096.0,4096.0,3563569.536
tak,67108864.0,16777216.0,9707504.0
times10,8192.0,8192.0,2658779.52
zebra,16384.0,16384.0,2351283.3798977854
