Benchmark,WebPL,WebPL#min,WebPL#max,WebPL (with GC),WebPL (with GC)#min,WebPL (with GC)#max,SWI-Prolog,SWI-Prolog#min,SWI-Prolog#max,Trealla Prolog,Trealla Prolog#min,Trealla Prolog#max,Tau Prolog,Tau Prolog#min,Tau Prolog#max
chat\_parser,21.6599999666214,20.75,21.77999997138977,23.56499993801117,23.485000014305115,23.66000008583069,70.53999996185303,69.98249995708466,70.89999997615814,26.92249995470047,26.81000006198883,27.09875002503395,1592.4799999594688,1589.2000000178814,1594.1412499547005
crypt,0.7049999237060547,0.690000057220459,0.7350000143051147,0.7000000476837158,0.6649999618530273,0.7199999094009399,2.834999918937683,2.809999942779541,2.8700000047683716,3.740000009536743,3.5999999046325684,3.8712500035762787,119.05000001192093,118.5349999666214,120.69500002264977
derive,0.2900000810623169,0.26999998092651367,0.30000007152557373,0.2749999761581421,0.26499998569488525,0.29499995708465576,1.1200000047683716,1.100000023841858,1.1299999952316284,0.43999993801116943,0.4200000762939453,0.44999992847442627,13.475000023841858,13.035000085830688,13.822499990463257
divide10,0.2700001001358032,0.26499998569488525,0.2849999666213989,0.25,0.24500000476837158,0.26999998092651367,1.0099999904632568,0.9900000095367432,1.020000010728836,0.3799999952316284,0.36500000953674316,0.38999998569488525,12.909999966621399,12.584999978542328,14.355000019073486
fib,5.355000019073486,5.0950000286102295,5.634999990463257,11.365000009536743,11.292500019073486,12.019999980926514,9.304999947547913,9.215000033378601,9.40499997138977,5.019999980926514,5.0,5.03000009059906,3012.2975000739098,2985.391249984503,3113.5837500095367
log10,0.24000000953674316,0.24000000953674316,0.25,0.25999999046325684,0.24500000476837158,0.26999998092651367,1.0049999952316284,0.9950000047683716,1.0149999856948853,0.39499998092651367,0.3799999952316284,0.4049999713897705,13.590000033378601,12.465000033378601,13.674999952316284
mu,0.375,0.3700000047683716,0.3900001049041748,0.375,0.3500000238418579,0.38499999046325684,1.2200000286102295,1.1800000667572021,1.2349998950958252,0.6150000095367432,0.6049998998641968,0.6200000047683716,15.299999952316284,14.93500006198883,15.694999933242798
nreverse,0.2950000762939453,0.28999996185302734,0.31499993801116943,0.48500001430511475,0.4650000333786011,0.4950000047683716,0.5800000429153442,0.5699999332427979,0.5899999141693115,0.4049999713897705,0.3999999761581421,0.4099999666213989,17.62999999523163,17.391249984502792,17.88374999165535
ops8,0.24500000476837158,0.24000000953674316,0.2549999952316284,0.25999999046325684,0.24500000476837158,0.2799999713897705,1.0,0.9900000095367432,1.0099999904632568,0.4500000476837158,0.43500006198883057,0.4649999141693115,13.4200000166893,12.487500011920929,14.144999980926514
poly\_10,6.924999952316284,6.599999904632568,7.230000019073486,15.180000066757202,15.1075000166893,15.59500002861023,18.47000002861023,14.259999990463257,18.72000002861023,6.309999942779541,6.276250064373016,6.334999918937683,3454.5525000095367,3445.891249984503,3481.9025000333786
qsort,0.33500003814697266,0.32499992847442627,0.35500001907348633,0.43000006675720215,0.4100000858306885,0.4500000476837158,0.75,0.7400000095367432,0.7549999952316284,0.5499999523162842,0.5299999713897705,0.559999942779541,17.820000052452087,17.5900000333786,18.080000042915344
queens\_8,7.879999995231628,7.810000061988831,7.940000057220459,8.875,8.815000057220459,8.930000066757202,16.59500002861023,16.544999957084656,17.094999939203262,8.360000014305115,8.325000047683716,8.399999976158142,259.22000002861023,256.48750001192093,269.5324999690056
query,0.8600000143051147,0.8300000429153442,0.8849999904632568,0.8499999046325684,0.8250000476837158,0.8550000190734863,2.4950000047683716,2.465000033378601,2.5149999856948853,1.2300000190734863,1.2000000476837158,1.25,20.435000002384186,20.134999990463257,20.772499978542328
tak,17.35499995946884,16.726250022649765,18.2150000333786,630.9874999523163,630.0325000286102,632.7675000727177,28.15499997138977,28.00499999523163,28.680000066757202,28.179999947547913,27.830000042915344,28.56500005722046,26981.53250002861,26883.456250041723,27082.235000014305
times10,0.26999998092651367,0.26375001668930054,0.2850000858306885,0.2849999666213989,0.26999998092651367,0.2950000762939453,1.0099999904632568,0.9950000047683716,1.0150001049041748,0.5475000143051147,0.5399999618530273,0.5749999284744263,13.090000033378601,12.764999985694885,14.484999984502792
zebra,3.6050000190734863,3.5399999618530273,3.6750000715255737,3.600000023841858,3.569999933242798,3.700000047683716,7.485000014305115,7.304999947547913,8.099999964237213,9.769999980926514,9.71999990940094,9.81499993801117,890.0349999666214,887.1187500059605,891.3262499570847
