benchmark,WebPL,SWI-Prolog,SWI (Experimental)
chat\_parser,524288.0,7442871.111111111,13655948.703030303
crypt,32768.0,10908516.736,21414527.36
derive,32768.0,21823275.392,27245724.032
divide10,16384.0,25960432.0,51374244.224
fib,16777216.0,51650544.0,82235408.768
log10,16384.0,51650544.0,102179324.288
mu,32768.0,51650544.0,103030768.0
nreverse,262144.0,52403421.568,103030768.0
ops8,16384.0,52699120.0,103030768.0
poly\_10,16777216.0,100947690.84563759,104159623.67020023
qsort,262144.0,103030768.0,105127920.0
queens\_8,65536.0,103030768.0,105127920.0
query,8192.0,103062225.28,105127920.0
tak,67108864.0,117710832.0,117710832.0
times10,16384.0,117710832.0,117710832.0
zebra,32768.0,117710832.0,117710832.0
