Benchmark,WebPL,WebPL (GC),SWI-Prolog,SWI (Experimental)
chat\_parser,524288.0,262144.0,5578736.0,10821616.0
crypt,32768.0,32768.0,10821616.0,21503984.0
derive,32768.0,32768.0,21766128.0,21766128.0
divide10,16384.0,16384.0,25960432.0,51650544.0
fib,16777216.0,32768.0,51650544.0,51650544.0
log10,16384.0,16384.0,51650544.0,101982192.0
mu,32768.0,32768.0,51650544.0,103030768.0
nreverse,262144.0,131072.0,52699120.0,103030768.0
ops8,16384.0,16384.0,52699120.0,103030768.0
poly\_10,16777216.0,262144.0,103030768.0,105127920.0
qsort,262144.0,65536.0,103030768.0,105127920.0
queens\_8,65536.0,32768.0,103030768.0,105127920.0
query,8192.0,8192.0,103030768.0,105127920.0
tak,67108864.0,16777216.0,117710832.0,117710832.0
times10,16384.0,16384.0,117710832.0,117710832.0
zebra,32768.0,32768.0,117710832.0,117710832.0
