Benchmark,WebPL,WebPL (GC),SWI-Prolog
chat\_parser,524288.0,262144.0,335856.0
crypt,32768.0,32768.0,204784.0
derive,32768.0,32768.0,204784.0
divide10,16384.0,16384.0,204784.0
fib,16777216.0,32768.0,204784.0
log10,16384.0,16384.0,204784.0
mu,32768.0,32768.0,204784.0
nreverse,262144.0,131072.0,204784.0
ops8,16384.0,16384.0,204784.0
poly\_10,16777216.0,262144.0,466928.0
qsort,262144.0,65536.0,204784.0
queens\_8,65536.0,32768.0,204784.0
query,8192.0,8192.0,204784.0
tak,67108864.0,16777216.0,9707504.0
times10,16384.0,16384.0,204784.0
zebra,32768.0,32768.0,204784.0
